09180112;Bad Kohlgrub;;; ;;;;;
;;ZZ;Darunter: EINPENDLER;3.435;1.429;2.006;3.203;232;176
;;ZZ;  davon: aus den ABL;3.400;1.406;1.994;3.176;224;176
;;ZZ; davon: aus den NBL;25;14;11;X;X;X
09180125;Oberammergau;;; ;;;;;
;;09162000;München, Landeshauptstadt;10;X;X;5;5;X
;;09162;München, Landeshauptstadt;10;X;X;5;5;X
;;09180112;Bad Kohlgrub;51;16;35;46;5;3
;;09180113;Bad Bayersoien;32;11;21;29;3;4
;;09180115;Ettal;37;18;19;32;5;4
;;09180116;Farchant;27;11;16;X;X;3
;;09180117;Garmisch-Partenkirchen, Markt;88;43;45;77;11;6
;;09180124;Murnau a.Staffelsee, Markt;36;9;27;32;4;X
;;09180125;Oberammergau;729;284;445;622;107;24
;;09180126;Oberau;29;12;17;25;4;X
;;09180127;Ohlstadt;16;6;10;X;X;X
;;09180129;Saulgrub;87;32;55;X;X;5
;;09180135;Unterammergau;133;54;79;X;X;7
;;09180;Übrige Gemeinden (Kreis);54;23;31;X;X;5
;;09180;Garmisch-Partenkirchen;1.319;519;800;1.172;147;63
;;09190117;Böbing;10;4;6;X;X;X
;;09190140;Peiting, Markt;25;8;17;X;X;X
;;09190154;Steingaden;13;4;9;X;X;X
;;09190160;Wildsteig;20;4;16;X;X;X
;;09190;Übrige Gemeinden (Kreis);47;8;39;43;4;X
;;09190;Weilheim-Schongau;115;28;87;110;5;5
;;091;Übrige Kreise (Regierungsbezirk);22;10;12;X;X;X
;;091;Oberbayern;1.466;565;901;1.307;159;70
;;09777;Ostallgäu;14;11;3;X;X;X
;;097;Übrige Kreise (Regierungsbezirk);11;7;4;X;X;X
;;097;Schwaben;25;18;7;X;X;X
;;09;Übrige Regierungsbezirke (Bundesland);10;4;6;X;X;X
;;09;Bayern;1.501;587;914;1.341;160;70
;;ZZ;Übrige (Bundes)Länder;32;18;14;29;3;X
;;ZZ;BUNDESGEBIET;1.531;605;926;1.369;162;70
;;ZZ;INSGESAMT;1.533;605;928;1.370;163;70
;;ZZ;Darunter: EINPENDLER;804;321;483;748;56;46
;;ZZ;  davon: aus den ABL;796;317;479;741;55;46
;;ZZ; davon: aus den NBL;6;X;X;X;X;X
09180126;Oberau;;; ;;;;;
;;09173;Bad Tölz-Wolfratshausen;11;7;4;X;X;X
;;09180114;Eschenlohe;16;9;7;X;X;X
;;09180116;Farchant;46;25;21;X;X;X
;;09180117;Garmisch-Partenkirchen, Markt;138;96;42;115;23;5
;;09180118;Grainau;20;14;6;X;X;X
;;09180123;Mittenwald, Markt;22;X;X;19;3;3
;;09180124;Murnau a.Staffelsee, Markt;20;11;9;X;X;X
;;09180125;Oberammergau;35;21;14;X;X;3
;;09180126;Oberau;217;113;104;186;31;8
;;09180127;Ohlstadt;14;7;7;X;X;X
;;09180135;Unterammergau;12;4;8;X;X;X
;;09180;Übrige Gemeinden (Kreis);41;28;13;X;X;5
;;09180;Garmisch-Partenkirchen;581;348;233;518;63;29
;;09190;Weilheim-Schongau;22;14;8;X;X;X
;;091;Übrige Kreise (Regierungsbezirk);6;X;X;X;X;X
;;091;Oberbayern;620;374;246;554;66;30
;;09;Übrige Regierungsbezirke (Bundesland);4;X;X;X;X;X
;;09;Bayern;624;378;246;554;70;30
;;ZZ;Übrige (Bundes)Länder;11;7;4;X;X;X
;;ZZ;BUNDESGEBIET;632;383;249;562;70;30
;;ZZ;INSGESAMT;635;385;250;563;72;30
;;ZZ;Darunter: EINPENDLER;418;272;146;377;41;22
;;ZZ;  davon: aus den ABL;412;269;143;373;39;22
;;ZZ; davon: aus den NBL;3;X;X;X;X;X
09180127;Ohlstadt;;; ;;;;;
;;09173;Bad Tölz-Wolfratshausen;12;3;9;X;X;X
;;09180114;Eschenlohe;18;7;11;X;X;X
;;09180117;Garmisch-Partenkirchen, Markt;20;11;9;X;X;3
;;09180119;Großweil;16;5;11;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;46;12;34;42;4;X
;;09180126;Oberau;11;X;X;X;X;X
;;09180127;Ohlstadt;248;123;125;235;13;13
