;;09162;München, Landeshauptstadt;73;47;26;70;3;8
;;09173112;Bad Tölz, Stadt;15;X;X;X;X;X
;;09173133;Kochel a.See;16;12;4;X;X;X
;;09173;Übrige Gemeinden (Kreis);14;11;3;X;X;X
;;09173;Bad Tölz-Wolfratshausen;45;37;8;X;X;3
;;09180114;Eschenlohe;13;X;X;X;X;X
;;09180116;Farchant;20;13;7;X;X;X
;;09180117;Garmisch-Partenkirchen, Markt;495;230;265;476;19;52
;;09180122;Krün;177;69;108;135;42;31
;;09180123;Mittenwald, Markt;1.193;542;651;1.070;123;57
;;09180124;Murnau a.Staffelsee, Markt;28;20;8;X;X;X
;;09180126;Oberau;22;X;X;19;3;3
;;09180136;Wallgau;30;14;16;X;X;X
;;09180;Übrige Gemeinden (Kreis);22;10;12;X;X;X
;;09180;Garmisch-Partenkirchen;2.000;929;1.071;1.809;191;147
;;09181132;Penzing;18;13;5;X;X;X
;;09181;Übrige Gemeinden (Kreis);12;4;8;X;X;X
;;09181;Landsberg am Lech;30;17;13;X;X;X
;;09184;München;12;8;4;X;X;X
;;09190141;Penzberg, Stadt;16;7;9;X;X;X
;;09190157;Weilheim i.OB, Stadt;16;11;5;X;X;X
;;09190;Übrige Gemeinden (Kreis);10;7;3;X;X;X
;;09190;Weilheim-Schongau;42;25;17;X;X;3
;;091;Übrige Kreise (Regierungsbezirk);34;26;8;31;3;X
;;091;Oberbayern;2.236;1.089;1.147;2.035;201;161
;;097;Schwaben;26;17;9;X;X;X
;;09;Übrige Regierungsbezirke (Bundesland);12;6;6;X;X;X
;;09;Bayern;2.274;1.112;1.162;2.070;204;162
;;ZZ;Übrige Bundesländer;38;14;24;X;X;X
;;ZZ;BUNDESGEBIET;2.345;1.148;1.197;2.137;208;165
;;ZZ;INSGESAMT;2.345;1.148;1.197;2.137;208;165
;;ZZ;Darunter: AUSPENDLER;1.152;606;546;1.067;85;108
;;ZZ;  davon: in die ABL;1.133;601;532;1.049;84;107
;;ZZ;  davon: in die NBL;19;5;14;X;X;X
09180124;Murnau a.Staffelsee, Markt;;; ;;;;;
;;051;Reg.-Bez. Düsseldorf;11;6;5;X;X;X
;;05;Übrige Regierungsbezirke (Bundesland);14;10;4;X;X;X
;;05;Nordrhein-Westfalen;25;16;9;X;X;X
;;064;Reg.-Bez. Darmstadt;13;X;X;X;X;X
;;06;Übrige Regierungsbezirke (Bundesland);X;X;X;X;X;X
;;06;Hessen;14;11;3;X;X;X
;;083;Reg.-Bez. Freiburg;10;7;3;X;X;X
;;08;Übrige Regierungsbezirke (Bundesland);23;15;8;X;X;X
;;08;Baden-Württemberg;33;22;11;30;3;X
;;09162000;München, Landeshauptstadt;393;207;186;351;42;10
;;09162;München, Landeshauptstadt;393;207;186;351;42;10
;;09173112;Bad Tölz, Stadt;12;X;X;X;X;X
;;09173126;Geretsried, Stadt;17;8;9;X;X;X
;;09173133;Kochel a.See;32;19;13;X;X;X
;;09173147;Wolfratshausen, Stadt;31;17;14;X;X;X
;;09173;Übrige Gemeinden (Kreis);27;14;13;23;4;X
;;09173;Bad Tölz-Wolfratshausen;119;60;59;111;8;5
;;09175;Ebersberg;12;8;4;X;X;X
;;09178124;Freising, Stadt;15;6;9;X;X;X
;;09178;Übrige Gemeinden (Kreis);X;X;X;X;X;X
;;09178;Freising;17;8;9;X;X;X
;;09180112;Bad Kohlgrub;11;3;8;X;X;X
;;09180114;Eschenlohe;21;13;8;X;X;X
;;09180115;Ettal;11;3;8;X;X;X
;;09180116;Farchant;22;11;11;X;X;4
;;09180117;Garmisch-Partenkirchen, Markt;250;96;154;226;24;9
;;09180119;Großweil;21;12;9;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;1.948;747;1.201;1.682;266;82
;;09180125;Oberammergau;36;9;27;32;4;X
;;09180126;Oberau;20;11;9;X;X;X
;;09180127;Ohlstadt;46;12;34;42;4;X
;;09180128;Riegsee;12;4;8;X;X;X
;;09180131;Schwaigen;13;4;9;X;X;X
;;09180132;Seehausen a.Staffelsee;71;23;48;66;5;4
;;09180133;Spatzenhausen;13;4;9;X;X;X
;;09180134;Uffing a.Staffelsee;24;14;10;21;3;3
;;09180;Übrige Gemeinden (Kreis);29;18;11;25;4;X
;;09180;Garmisch-Partenkirchen;2.548;984;1.564;2.229;319;111
;;09181;Landsberg am Lech;10;X;X;X;X;X
;;09182;Miesbach;14;10;4;X;X;X
;;09184138;Planegg;12;8;4;X;X;X
;;09184;Übrige Gemeinden (Kreis);74;53;21;65;9;X
;;09184;München;86;61;25;76;10;X
;;09185149;Neuburg a.d.Donau, Stadt;10;X;X;X;X;X
;;09185;Neuburg-Schrobenhausen;10;X;X;X;X;X
;;09188132;Seefeld;14;7;7;X;X;X
;;09188139;Starnberg, Stadt;33;14;19;X;X;4
;;09188141;Tutzing;10;4;6;X;X;X
;;09188;Übrige Gemeinden (Kreis);27;17;10;X;X;X
;;09188;Starnberg;84;42;42;80;4;4
;;09190121;Eglfing;26;19;7;X;X;X
;;09190131;Huglfing;28;17;11;24;4;X
;;09190136;Obersöchering;17;11;6;X;X;X
;;09190139;Peißenberg, Markt;32;23;9;29;3;3
;;09190140;Peiting, Markt;14;4;10;X;X;X
;;09190141;Penzberg, Stadt;151;92;59;143;8;10
;;09190148;Schongau, Stadt;13;X;X;X;X;X
;;09190157;Weilheim i.OB, Stadt;183;97;86;176;7;8
;;09190;Übrige Gemeinden (Kreis);55;36;19;51;4;5
;;09190;Weilheim-Schongau;519;311;208;490;29;30
;;091;Übrige Kreise (Regierungsbezirk);27;21;6;X;X;X
;;091;Oberbayern;3.839;1.730;2.109;3.420;419;162
